Nomre,Puntuacion,Clasificacion Edad,Desarrollador,Distribuidor,Géneros,Plataforma,Precio,Consola virtual,Lanzamiento en Europa:,Formato,Voces (idioma),Textos (idioma),Num Jugadores,Modo Online,Num genero,Num idioma
Disney Magical World,7.2,Pegi 3,Four Fats,,Acción-Arcade,Wii,,,,,,,,,,
Divinity: Original Sin II – Definitive Edition,10,Pegi 18,Take-Two Interactive,,Acción-Shooter en 1ª persona (FPS),SWITCH,,,,,,,,,,
Disney Infinity 3.0,8.5,Pegi 7,Kindly Beast,,Acción-Puzle,SWITCH,,,,,,,,,,
Deponia,--,Pegi 12,Realtime Associates,,Acción,Nintendo 3DS,,,,,,,,,,
"Cook, Serve, Delicious! 2!!",--,Pegi 12,Causal Bit Games,,Acción-Arcade-Aventura-Plataformas,Wii U,,,,,,,,,,
CONTRA ROGUE CORPS,--,Pegi 16,Platinum Games,,Acción-Aventura,Nintendo 3DS,,,,,,,,,,
Constructor,--,Pegi 12,Airship Syndicate,,Rol (RPG),SWITCH,,,,,,,,,,
Citizens of Space,--,Pegi 12,WB Games Montreal,,Acción-Aventura,Wii U,,,,,,,,,,
Chronus Arc,--,Pegi 12,EnjoyUP,,Otros-Puzle,SWITCH,,,,,,,,,,
Chocobo’s Mystery Dungeon EVERY BUDDY!,6.6,Pegi 7,Curve Digital,,Aventura-Rol (RPG),Nintendo 3DS,,,,,,,,,,
Child of Light,8,Pegi 12,Frogmind,,Acción-Aventura-Plataformas-Puzle,Wii U,,,,,,,,,,
Citizens of Earth,7.1,Pegi 7,SEGA,,Acción-Puzle,Nintendo 3DS,,,,,,,,,,
Chibi-Robo!™ Zip Lash,6.5,Pegi 7,Nicalis,,Acción-Aventura,SWITCH,,,,,,,,,,
Chapeau,--,Pegi 3,Mercury Steam,,Aventura,SWITCH,,,,,,,,,,
Alien: Isolation,9,Pegi 16,BANDAI NAMCO Entertainment,,Acción-Deportes,Wii,,,,,,,,,,
Affordable Space Adventures,8.7,Pegi 7,Nintendo,,Minijuegos-Plataformas,SWITCH,,,,,,,,,,
Air Conflicts: Secret Wars,3.6,Pegi 12,OXiAB Game Studio,,Aventura-Plataformas,Wii U,,,,,,,,,,
Agatha Christie – The ABC Murders,--,Pegi 12,Inti Creates,,Acción,SWITCH,,,,,,,,,,
Adventure Time: Finn and Jake Investigations,--,Pegi 6,Gust,,Rol (RPG),SWITCH,,,,,,,,,,
AeternoBlade,--,Pegi 12,Spike Chunsoft,,Acción-Rol (RPG),SWITCH,,,,,,,,,,
Adventure Time: Finn and Jake Investigations,--,Pegi 6,Gust,,Rol (RPG),VirtualBoy,,,,,,,,,,
Angels of Death,5.7,Pegi 12,Gust,,Rol (RPG),Precio de lanzamiento:,,,,,,,,,,
Adam’s Venture®: Origins,--,Pegi 7,Koei Tecmo,,Rol (RPG),Consola virtual:,,,,,,,,,,
Animal Crossing: amiibo Festival,--,Pegi 3,Gust,,Rol (RPG),Nintendo 3DS,,,,,,,,,,
Angry Birds Trilogy,--,Pegi 3,Gust,,Rol (RPG),Movil,,,,,,,,,,
Aragami – Shadow Edition,8,Pegi 16,Gust,,Rol (RPG),SWITCH,,,,,,,,,,
Among the Sleep – Enhanced Edition,--,Pegi 12,Electronic Arts,,Conducción,SWITCH,,,,,,,,,,
Billion Road,--,Pegi 3,ININ Games,,Arcade-Fiesta-Minijuegos,Precio de lanzamiento:,,,,,,,,,,
BLACK BIRD,6,Pegi 7,Gust,,Rol (RPG),SWITCH,,,,,,,,,,
Aqua TV,--,Pegi 3,"Abstraction, WayForward",,Aventura,SWITCH,,,,,,,,,,
Blackmoor 2,--,Pegi 7,Enjoy Up Games,,Arcade,SWITCH,,,,,,,,,,
BioShock: The Collection,9.2,Pegi 18,inkle Ltd,,Aventura-Estrategia,SWITCH,,,,,,,,,,
Beyond Enemy Lines: Covert Operations,--,Pegi 16,Sometimes You,,Acción-Aventura-Plataformas-Puzle,,,,,,,,,,,
Bendy and the Ink Machine,7.4,Pegi 12,Tomorrow Corporation,,Educativo-Estrategia-Puzle-Simulación,,,,,,,,,,,
Beavis and Butt-head,--,Pegi 12,M2,,Arcade-Lucha,,,,,,,,,,,
Battle Princess Madelyn,7.5,Pegi 3,Nintendo,,Fiesta-Otros-Puzle-Tablero,,,,,,,,,,,
Bayonetta 2,9,Pegi 18,Zen Studios Games,,Otros,,,,,,,,,,,
Battle Chasers: Nightwar,8,Pegi 16,Nintendo,,Arcade-Shooter en 3ª persona (TPS),,,,,,,,,,,
